recipe_id,recipe_name,category,cuisine,total_ingredients,main_count,secondary_count,optional_count,main_ratio,review_ok,issues
themealdb_53076,Bread omelette,breakfast,Indian,3,3,0,0,100.00%,,
themealdb_53310,Challah,side,Polish,6,2,4,0,33.33%,,
themealdb_53049,Apam balik,dessert,Malaysian,9,3,6,0,33.33%,,
themealdb_52904,Beef Bourguignon,main,French,15,3,12,0,20.00%,,
themealdb_52835,Fettucine alfredo,main,Italian,7,4,3,0,57.14%,,
themealdb_53016,Chick-Fil-A Sandwich,main,American,14,4,10,0,28.57%,,
themealdb_52843,Lamb Tagine,main,Moroccan,15,3,12,0,20.00%,,
bootstrap_002,Fluffy Pancakes,breakfast,American,7,3,4,0,42.86%,,
themealdb_53254,Ezme,main,Turkish,13,3,10,0,23.08%,,
guacamole,Fresh Guacamole,appetizer,Mexican,9,3,5,1,33.33%,,
themealdb_52807,Baingan Bharta,main,Indian,9,3,6,0,33.33%,,
themealdb_52977,Corba,side,Turkish,13,3,10,0,23.08%,,
themealdb_53215,Shakshouka,main,Saudi Arabian,6,2,2,2,33.33%,,
themealdb_52792,Bread and Butter Pudding,dessert,British,9,4,4,1,44.44%,,
chocolate_mug_cake,Microwave Chocolate Mug Cake,dessert,American,9,6,2,1,66.67%,,
themealdb_53053,Beef Rendang,main,Malaysian,12,3,9,0,25.00%,,
themealdb_52965,Breakfast Potatoes,breakfast,Canadian,9,2,5,2,22.22%,,
themealdb_52808,Lamb Rogan josh,main,Indian,14,3,10,1,21.43%,,
themealdb_52804,Poutine,main,Canadian,4,4,0,0,100.00%,,
themealdb_53169,Ajo blanco,appetizer,Spanish,5,2,3,0,40.00%,,
themealdb_52928,BeaverTails,dessert,Canadian,12,4,5,3,33.33%,,
themealdb_52915,French Omelette,main,French,7,2,5,0,28.57%,,
themealdb_53146,Locro,main,Argentinian,11,5,4,2,45.45%,,
veggie_quesadilla,Veggie Quesadilla,main,Mexican,8,3,4,1,37.50%,,
themealdb_52956,Chicken Congee,main,Chinese,9,2,7,0,22.22%,,
themealdb_53111,Anzac biscuits,dessert,Australian,7,5,2,0,71.43%,,
themealdb_53094,Baba Ghanoush,side,Syrian,10,2,8,0,20.00%,,
themealdb_53061,Fresh sardines,side,Croatian,4,2,2,0,50.00%,,
themealdb_53373,Air Fryer Egg Rolls,side,Chinese,14,3,11,0,21.43%,,
themealdb_53070,Beef Caldereta,main,Filipino,14,3,11,0,21.43%,,
themealdb_53115,Red onion pickle,main,Norwegian,6,2,4,0,33.33%,,
themealdb_53178,Fried calamari,main,Spanish,7,2,5,0,28.57%,,
themealdb_53071,Beef Asado,main,Filipino,14,3,11,0,21.43%,,
themealdb_53144,Gambas al ajillo,main,Spanish,5,3,2,0,60.00%,,
themealdb_52795,Chicken Handi,main,Indian,16,3,12,1,18.75%,,
themealdb_52884,Lancashire hotpot,main,British,10,4,6,0,40.00%,,
themealdb_53068,Beef Mechado,main,Filipino,12,3,8,1,25.00%,,
themealdb_53188,Fašírky,main,Slovakian,15,3,12,0,20.00%,,
themealdb_53072,Crispy Eggplant,main,Filipino,7,3,2,2,42.86%,,
french_toast,Classic French Toast,breakfast,American,9,3,3,3,33.33%,,
themealdb_53250,Vegan banh mi,main,Vietnamese,9,3,6,0,33.33%,,
themealdb_53190,Bryndzové Halušky,main,Slovakian,7,4,2,1,57.14%,,
themealdb_53120,Æbleskiver,dessert,Norwegian,10,2,8,0,20.00%,,
themealdb_52839,Chilli prawn linguine,main,Italian,13,3,10,0,23.08%,,
themealdb_53139,Fainá,side,Argentinian,5,2,1,2,40.00%,,
themealdb_53290,Cheese Borek,side,Algerian,8,4,4,0,50.00%,,
themealdb_53089,Syrian Bread,main,Syrian,6,4,2,0,66.67%,,
themealdb_53359,Beef Mandi,main,Indian,12,3,9,0,25.00%,,
themealdb_52944,Escovitch Fish,main,Jamaican,17,3,14,0,17.65%,,
themealdb_52920,Chicken Marengo,main,French,7,5,2,0,71.43%,,
themealdb_53223,Mutabbaq,main,Saudi Arabian,15,3,12,0,20.00%,,
themealdb_52894,Battenberg Cake,dessert,British,20,3,17,0,15.00%,,
chicken_stir_fry,Easy Chicken Stir-Fry,main,Asian,11,3,7,1,27.27%,,
spaghetti_carbonara,Classic Spaghetti Carbonara,main,Italian,7,3,3,1,42.86%,,
themealdb_52923,Canadian Butter Tarts,dessert,Canadian,8,5,3,0,62.50%,,
themealdb_53136,Choripán,main,Argentinian,3,2,1,0,66.67%,,
themealdb_53329,Arepa pelua,main,Venezulan,12,3,9,0,25.00%,,
banana_pancakes,3-Ingredient Banana Pancakes,breakfast,American,5,2,1,2,40.00%,,
themealdb_53050,Ayam Percik,main,Malaysian,13,3,10,0,23.08%,,
themealdb_52885,Bubble & Squeak,main,British,6,2,4,0,33.33%,,
themealdb_53080,Blini Pancakes,side,Russian,7,4,3,0,57.14%,,
themealdb_53179,Ham croquetas,main,Spanish,11,4,7,0,36.36%,,
themealdb_52875,Chicken Ham and Leek Pie,main,British,17,4,13,0,23.53%,,
themealdb_53361,Callaloo and SaltFish,side,Jamaican,10,2,8,0,20.00%,,
themealdb_53030,Feteer Meshaltet,side,Egyptian,5,3,2,0,60.00%,,
themealdb_52987,Lasagna Sandwiches,main,American,9,5,4,0,55.56%,,
themealdb_52914,Boulangère Potatoes,side,French,5,2,3,0,40.00%,,
themealdb_53158,Air fryer patatas bravas,main,Spanish,8,2,6,0,25.00%,,
themealdb_52891,Blackberry Fool,dessert,British,13,3,9,1,23.08%,,
themealdb_52879,Chicken Parmentier,main,French,17,4,13,0,23.53%,,
themealdb_52810,Osso Buco alla Milanese,main,Italian,18,3,15,0,16.67%,,
themealdb_53242,Barbecue pork buns,main,Vietnamese,10,2,8,0,20.00%,,
themealdb_53372,Chinese Tomato Egg Stir Fry,main,Chinese,10,3,7,0,30.00%,,
themealdb_53073,Eggplant Adobo,main,Filipino,10,2,8,0,20.00%,,
themealdb_53316,Beetroot pancakes,dessert,Ukrainian,11,5,6,0,45.45%,,
themealdb_53379,Dutch poffertjes (mini pancakes),breakfast,Dutch,9,4,5,0,44.44%,,
themealdb_52829,Grilled Mac and Cheese Sandwich,main,American,17,5,12,0,29.41%,,
themealdb_52878,Beef and Oyster pie,main,British,15,3,12,0,20.00%,,
themealdb_52837,Pilchard puttanesca,main,Italian,9,2,7,0,22.22%,,
themealdb_52893,Apple & Blackberry Crumble,dessert,British,9,4,5,0,44.44%,,
themealdb_52877,Lamb and Potato pie,main,British,9,2,7,0,22.22%,,
themealdb_52939,Callaloo Jamaican Style,main,Jamaican,10,2,8,0,20.00%,,
themealdb_53219,Shakshuka Feta Cheese,main,Saudi Arabian,12,4,8,0,33.33%,,
themealdb_53334,Arepa Pabellón,main,Venezulan,8,2,6,0,25.00%,,
themealdb_52961,Budino Di Ricotta,dessert,Italian,8,3,5,0,37.50%,,
themealdb_52974,Keleya Zaara,main,Tunisian,8,2,6,0,25.00%,,
themealdb_53095,Syrian Rice with Meat,main,Syrian,10,4,6,0,40.00%,,
themealdb_53041,Grilled Portuguese sardines,main,Portuguese,7,2,5,0,28.57%,,
themealdb_52997,"Beef Banh Mi Bowls with Sriracha Mayo, Carrot & Pickled Cucumber",main,Vietnamese,8,4,4,0,50.00%,,
themealdb_53284,Algerian Bouzgene Berber Bread with Roasted Pepper Sauce,side,Algerian,11,5,5,1,45.45%,,
themealdb_53366,Beef and Broccoli Stir-Fry,main,Chinese,14,3,11,0,21.43%,,
themealdb_53265,Chilli ginger lamb chops,main,Turkish,7,2,5,0,28.57%,,
themealdb_53037,Coddled pork with cider,main,Irish,10,4,6,0,40.00%,,
themealdb_53159,"Chorizo, potato & cheese omelette",main,Spanish,6,4,2,0,66.67%,,
themealdb_52919,Fennel Dauphinoise,side,French,7,3,4,0,42.86%,,
themealdb_53107,Avocado dip with new potatoes,main,Australian,9,2,7,0,22.22%,,
themealdb_52818,Chicken Fajita Mac and Cheese,main,American,12,5,6,1,41.67%,,
themealdb_53100,Blueberry & lemon friands,dessert,Australian,7,4,3,0,57.14%,,
themealdb_53277,Lamb & apricot meatballs,main,Turkish,12,4,8,0,33.33%,,
themealdb_53307,Beetroot & red cabbage sauerkraut,main,Polish,5,2,3,0,40.00%,,
themealdb_52957,Fruit and Cream Cheese Breakfast Pastries,breakfast,American,8,2,6,0,25.00%,,
themealdb_52846,Chicken & mushroom Hotpot,main,British,11,5,6,0,45.45%,,
themealdb_53305,Braised stuffed cabbage,main,Polish,11,3,8,0,27.27%,,
themealdb_52874,Beef and Mustard Pie,main,British,15,3,12,0,20.00%,,
themealdb_52959,Baked salmon with fennel & tomatoes,main,British,7,3,4,0,42.86%,,
themealdb_53313,Beetroot latkes,main,Ukrainian,12,3,9,0,25.00%,,
themealdb_53253,Imam bayildi with BBQ lamb & tzatziki,main,Turkish,13,3,10,0,23.08%,,
themealdb_52870,Chickpea Fajitas,main,Mexican,13,3,10,0,23.08%,,
themealdb_53173,Quick gazpacho,appetizer,Spanish,6,2,4,0,33.33%,,
themealdb_52815,French Lentils With Garlic and Thyme,main,French,9,4,5,0,44.44%,,
themealdb_53230,Purple sprouting broccoli tempura with nuoc cham,main,Vietnamese,10,4,6,0,40.00%,,
themealdb_53093,Syrian Spaghetti,main,Syrian,7,3,4,0,42.86%,,
themealdb_53147,Arroz con gambas y calamar,main,Spanish,10,3,7,0,30.00%,,
themealdb_53154,"Clam, chorizo & white bean stew",main,Spanish,10,4,6,0,40.00%,,
themealdb_53092,Fasoliyyeh Bi Z-Zayt (Syrian Green Beans with Olive Oil),main,Syrian,5,2,3,0,40.00%,,
themealdb_53123,Fårikål (Norwegian National Dish),main,Norwegian,6,2,4,0,33.33%,,
themealdb_53249,Turkey Bánh mì,main,Vietnamese,12,3,9,0,25.00%,,
themealdb_53103,Barramundi with Moroccan spices,main,Australian,9,2,7,0,22.22%,,
themealdb_52913,Brie wrapped in prosciutto & brioche,side,French,9,4,5,0,44.44%,,
themealdb_53283,Chtitha Batata (Algerian Potato Stew),main,Algerian,12,3,8,1,25.00%,,
themealdb_53161,Chicken & chorizo rice pot,main,Spanish,12,5,7,0,41.67%,,
themealdb_53083,Lamb Pilaf (Plov),main,Russian,11,4,6,1,36.36%,,
themealdb_53036,Boxty Breakfast,main,Irish,11,6,5,0,54.55%,,
themealdb_52967,Home-made Mandazi,breakfast,Kenyan,4,2,2,0,50.00%,,
themealdb_53166,"Chickpea, chorizo & spinach stew",main,Spanish,13,4,9,0,30.77%,,
themealdb_53279,"Baklava with spiced nuts, ricotta & chocolate",dessert,Turkish,14,5,8,1,35.71%,,
themealdb_52838,Venetian Duck Ragu,main,Italian,15,4,11,0,26.67%,,
themealdb_53156,Arroz al horno (baked rice),main,Spanish,15,3,12,0,20.00%,,
themealdb_53276,Apricot & Turkish delight mess,dessert,Turkish,9,2,7,0,22.22%,,
themealdb_52848,Bean & Sausage Hotpot,main,British,5,3,2,0,60.00%,,
themealdb_53180,Garlicky prawns with sherry,main,Spanish,5,4,1,0,80.00%,,
themealdb_53127,Authentic Norwegian Kransekake,dessert,Norwegian,6,4,2,0,66.67%,,
themealdb_53035,Ham hock colcannon,main,Irish,9,2,7,0,22.22%,,
themealdb_53278,Aubergine & hummus grills,main,Turkish,9,3,6,0,33.33%,,
themealdb_53281,Algerian Kefta (Meatballs),main,Algerian,8,3,3,2,37.50%,,
themealdb_53009,Lamb and Lemon Souvlaki,main,Greek,7,3,4,0,42.86%,,
themealdb_52999,Crispy Sausages and Greens,main,Irish,9,3,6,0,33.33%,,
themealdb_53272,Griddled flatbreads,side,Turkish,5,3,2,0,60.00%,,
themealdb_53258,Hot cumin lamb wrap with crunchy slaw & spicy mayo,main,Turkish,11,3,8,0,27.27%,,
themealdb_52912,Three-cheese souffles,main,French,12,3,9,0,25.00%,,
themealdb_53043,Fish fofos,main,Portuguese,12,3,9,0,25.00%,,
themealdb_53282,Algerian Carrots,side,Algerian,11,3,8,0,27.27%,,
themealdb_52995,BBQ Pork Sloppy Joes,main,American,13,3,10,0,23.08%,,
themealdb_52942,Roast fennel and aubergine paella,main,Spanish,15,4,11,0,26.67%,,
themealdb_52934,Chicken Basquaise,main,French,19,3,16,0,15.79%,,
themealdb_53183,"Spanish meatballs with clams, chorizo & squid",main,Spanish,17,5,12,0,29.41%,,
themealdb_52796,Chicken Alfredo Primavera,main,Italian,19,3,16,0,15.79%,,
themealdb_52782,Lamb tomato and sweet spices,main,Moroccan,19,3,16,0,15.79%,,
themealdb_53018,Bigos (Hunters Stew),main,Polish,20,4,16,0,20.00%,,
themealdb_52880,McSinghs Scotch pie,main,British,16,3,13,0,18.75%,,
themealdb_52918,Fish Stew with Rouille,main,French,18,5,13,0,27.78%,,
